sample,OTU1,OTU2,OTU3,OTU4,OTU5,OTU6,OTU7,OTU8,OTU9,OTU10,OTU11,OTU12,OTU13,OTU14,OTU15,OTU16,OTU17,OTU18,OTU19,OTU20,OTU21,OTU22,OTU23,OTU24,batch,tissue
AaF26,0,0.024,0,0,0.444,0,0.09,0,0.08,0.07200000000000001,0,0.107,0,0.040999999999999995,0,0.023,0.023,0.017,0,0,0.018000000000000002,0.061,0,0,2,Ectosome
AaF27,0,0,0,0,0,0.133,0.149,0,0.10800000000000001,0.11599999999999999,0,0.14800000000000002,0,0.083,0,0.038,0.027000000000000003,0.035,0.012,0,0.021,0.024,0,0.107,2,Choanosome
AaF28,0,0.146,0,0,0.384,0,0.142,0,0.055999999999999994,0,0.037000000000000005,0.053,0,0.011000000000000001,0,0.008,0.01,0.047,0.053,0.022000000000000002,0,0,0.03,0,2,Ectosome
AaF29,0,0,0,0,0,0.09300000000000001,0.09699999999999999,0,0.052000000000000005,0.092,0.057,0.158,0,0.045,0,0,0.003,0.042,0.078,0.03,0.032,0.025,0,0.196,2,Choanosome
AaF30,0,0.073,0,0,0.545,0,0.107,0,0.057999999999999996,0,0.017,0.055999999999999994,0,0,0,0,0.015,0.06,0.031,0,0,0,0.037000000000000005,0,2,Ectosome
AaF31,0,0,0,0,0,0.214,0.085,0,0.086,0.035,0.027999999999999997,0.044000000000000004,0,0,0,0.032,0.021,0.098,0.106,0.031,0,0,0.054000000000000006,0.16399999999999998,2,Choanosome
AaF32,0,0.183,0.018000000000000002,0.040999999999999995,0.499,0,0.040999999999999995,0,0.037000000000000005,0,0.008,0.033,0,0,0,0.01,0,0.047,0.023,0.013999999999999999,0,0,0.046,0,2,Ectosome
AaF33,0,0,0,0,0,0.18600000000000003,0.087,0,0.099,0.015,0.022000000000000002,0.109,0,0,0,0.092,0.027000000000000003,0.14400000000000002,0.023,0,0,0,0.035,0.161,2,Choanosome
AaF34,0,0.057,0,0,0.45299999999999996,0,0.071,0,0.039,0,0.023,0.08199999999999999,0,0,0,0.028999999999999998,0.033,0.102,0.036000000000000004,0,0,0,0.07400000000000001,0,2,Ectosome
AaF35,0,0,0,0,0,0.16899999999999998,0.11900000000000001,0,0,0,0,0.141,0,0.028999999999999998,0,0.011000000000000001,0.009000000000000001,0.08,0.142,0,0.098,0,0,0.203,2,Choanosome
