"accession","analysis_status","analysis_summary.0.key","analysis_summary.0.value","analysis_summary.1.key","analysis_summary.1.value","analysis_summary.2.key","analysis_summary.2.value","analysis_summary.3.key","analysis_summary.3.value","analysis_summary.4.key","analysis_summary.4.value","analysis_summary.5.key","analysis_summary.5.value","analysis_summary.6.key","analysis_summary.6.value","analysis_summary.7.key","analysis_summary.7.value","analysis_summary.8.key","analysis_summary.8.value","analysis_summary.9.key","analysis_summary.9.value","assembly","complete_time","downloads","experiment_type","instrument_model","instrument_platform","is_private","last_update","mgx_accession","pipeline_version","run","sample","study","url"
"MGYA00216453","completed","Submitted nucleotide sequences","32553012","Nucleotide sequences after format-specific filtering","32506394","Nucleotide sequences after length filtering","30116344","Nucleotide sequences after undetermined bases filtering","30113065","Reads with predicted CDS","28842264","Reads with predicted RNA","133546","Reads with InterProScan match","12824418","Predicted CDS","29246502","Predicted CDS with InterProScan match","12843699","Total InterProScan matches","21259079","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1713402?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426849?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216453?format=csv"
"MGYA00216454","completed","Submitted nucleotide sequences","4096945","Nucleotide sequences after format-specific filtering","4088907","Nucleotide sequences after length filtering","3601470","Nucleotide sequences after undetermined bases filtering","3601390","Reads with predicted CDS","3437048","Reads with predicted RNA","17286","Reads with InterProScan match","1512224","Predicted CDS","3454630","Predicted CDS with InterProScan match","1513056","Total InterProScan matches","2414563","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1725949?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426783?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216454?format=csv"
"MGYA00216455","completed","Submitted nucleotide sequences","14332292","Nucleotide sequences after format-specific filtering","14313578","Nucleotide sequences after length filtering","12787622","Nucleotide sequences after undetermined bases filtering","12787271","Reads with predicted CDS","12200879","Reads with predicted RNA","62803","Reads with InterProScan match","4544629","Predicted CDS","12270503","Predicted CDS with InterProScan match","4547587","Total InterProScan matches","7197322","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1725984?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426813?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216455?format=csv"
"MGYA00216456","completed","Submitted nucleotide sequences","140378","Nucleotide sequences after format-specific filtering","139215","Nucleotide sequences after length filtering","72084","Nucleotide sequences after undetermined bases filtering","72083","Reads with predicted CDS","69540","Reads with predicted RNA","191","Reads with InterProScan match","34479","Predicted CDS","69941","Predicted CDS with InterProScan match","34501","Total InterProScan matches","53119","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR2592272?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426840?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216456?format=csv"
"MGYA00216457","completed","Submitted nucleotide sequences","23062081","Nucleotide sequences after format-specific filtering","23030331","Nucleotide sequences after length filtering","21413609","Nucleotide sequences after undetermined bases filtering","21411145","Reads with predicted CDS","20526513","Reads with predicted RNA","115401","Reads with InterProScan match","9624376","Predicted CDS","20835673","Predicted CDS with InterProScan match","9639820","Total InterProScan matches","16041186","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1713360?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426807?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216457?format=csv"
"MGYA00216458","completed","Submitted nucleotide sequences","10079245","Nucleotide sequences after format-specific filtering","10060988","Nucleotide sequences after length filtering","8660582","Nucleotide sequences after undetermined bases filtering","8660374","Reads with predicted CDS","8224681","Reads with predicted RNA","42116","Reads with InterProScan match","3345775","Predicted CDS","8242644","Predicted CDS with InterProScan match","3346363","Total InterProScan matches","5209094","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1726002?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426835?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216458?format=csv"
"MGYA00216459","completed","Submitted nucleotide sequences","10692196","Nucleotide sequences after format-specific filtering","10677016","Nucleotide sequences after length filtering","9363152","Nucleotide sequences after undetermined bases filtering","9362882","Reads with predicted CDS","8962331","Reads with predicted RNA","72047","Reads with InterProScan match","4058059","Predicted CDS","9002608","Predicted CDS with InterProScan match","4060299","Total InterProScan matches","6427636","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1725982?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426812?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216459?format=csv"
"MGYA00216460","completed","Submitted nucleotide sequences","25512630","Nucleotide sequences after format-specific filtering","25471121","Nucleotide sequences after length filtering","18833254","Nucleotide sequences after undetermined bases filtering","18832527","Reads with predicted CDS","17976635","Reads with predicted RNA","68230","Reads with InterProScan match","7585861","Predicted CDS","18176654","Predicted CDS with InterProScan match","7596578","Total InterProScan matches","12252296","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR2592276?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426847?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216460?format=csv"
"MGYA00216461","completed","Submitted nucleotide sequences","1894914","Nucleotide sequences after format-specific filtering","1891969","Nucleotide sequences after length filtering","1638179","Nucleotide sequences after undetermined bases filtering","1638153","Reads with predicted CDS","1563398","Reads with predicted RNA","7037","Reads with InterProScan match","609275","Predicted CDS","1567017","Predicted CDS with InterProScan match","609427","Total InterProScan matches","949951","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1725957?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426787?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216461?format=csv"
"MGYA00216462","completed","Submitted nucleotide sequences","157750194","Nucleotide sequences after format-specific filtering","157455416","Nucleotide sequences after length filtering","71184914","Nucleotide sequences after undetermined bases filtering","71182574","Reads with predicted CDS","67309812","Reads with predicted RNA","286122","Reads with InterProScan match","26845806","Predicted CDS","67837029","Predicted CDS with InterProScan match","26871733","Total InterProScan matches","42818699","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR2592250?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426788?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216462?format=csv"
"MGYA00216463","completed","Submitted nucleotide sequences","45192860","Nucleotide sequences after format-specific filtering","45138832","Nucleotide sequences after length filtering","42541660","Nucleotide sequences after undetermined bases filtering","42535455","Reads with predicted CDS","40598677","Reads with predicted RNA","162795","Reads with InterProScan match","16401937","Predicted CDS","41327567","Predicted CDS with InterProScan match","16430684","Total InterProScan matches","27164859","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1713385?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426832?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216463?format=csv"
"MGYA00216464","completed","Submitted nucleotide sequences","24285085","Nucleotide sequences after format-specific filtering","24254285","Nucleotide sequences after length filtering","19329026","Nucleotide sequences after undetermined bases filtering","19328231","Reads with predicted CDS","18249153","Reads with predicted RNA","66846","Reads with InterProScan match","7064657","Predicted CDS","18454740","Predicted CDS with InterProScan match","7074666","Total InterProScan matches","11393958","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR2592271?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426837?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216464?format=csv"
"MGYA00216465","completed","Submitted nucleotide sequences","9347558","Nucleotide sequences after format-specific filtering","9326938","Nucleotide sequences after length filtering","8305636","Nucleotide sequences after undetermined bases filtering","8305565","Reads with predicted CDS","7970895","Reads with predicted RNA","32048","Reads with InterProScan match","3619537","Predicted CDS","8088142","Predicted CDS with InterProScan match","3624457","Total InterProScan matches","5971011","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR2592331?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426790?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216465?format=csv"
"MGYA00216466","completed","Submitted nucleotide sequences","70564899","Nucleotide sequences after format-specific filtering","70481621","Nucleotide sequences after length filtering","65969841","Nucleotide sequences after undetermined bases filtering","65961557","Reads with predicted CDS","62801749","Reads with predicted RNA","285992","Reads with InterProScan match","23853651","Predicted CDS","63845585","Predicted CDS with InterProScan match","23894254","Total InterProScan matches","39190933","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1713381?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426828?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216466?format=csv"
"MGYA00216467","completed","Submitted nucleotide sequences","37494128","Nucleotide sequences after format-specific filtering","37442076","Nucleotide sequences after length filtering","29267668","Nucleotide sequences after undetermined bases filtering","29266549","Reads with predicted CDS","27839211","Reads with predicted RNA","149534","Reads with InterProScan match","11755357","Predicted CDS","28114403","Predicted CDS with InterProScan match","11768986","Total InterProScan matches","18908834","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR2592247?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426782?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216467?format=csv"
"MGYA00216468","completed","Submitted nucleotide sequences","33573660","Nucleotide sequences after format-specific filtering","33543437","Nucleotide sequences after length filtering","31164966","Nucleotide sequences after undetermined bases filtering","31163783","Reads with predicted CDS","29664026","Reads with predicted RNA","172637","Reads with InterProScan match","13361825","Predicted CDS","29730746","Predicted CDS with InterProScan match","13364147","Total InterProScan matches","20955077","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1725974?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426804?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216468?format=csv"
"MGYA00216469","completed","Submitted nucleotide sequences","73962463","Nucleotide sequences after format-specific filtering","73860846","Nucleotide sequences after length filtering","68770761","Nucleotide sequences after undetermined bases filtering","68763094","Reads with predicted CDS","64864247","Reads with predicted RNA","495864","Reads with InterProScan match","31791275","Predicted CDS","65554684","Predicted CDS with InterProScan match","31816672","Total InterProScan matches","52596891","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1713359?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426806?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216469?format=csv"
"MGYA00216470","completed","Submitted nucleotide sequences","20780558","Nucleotide sequences after format-specific filtering","20762302","Nucleotide sequences after length filtering","19393266","Nucleotide sequences after undetermined bases filtering","19392430","Reads with predicted CDS","18589540","Reads with predicted RNA","75630","Reads with InterProScan match","7598725","Predicted CDS","18639146","Predicted CDS with InterProScan match","7600667","Total InterProScan matches","11858821","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1725961?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426790?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216470?format=csv"
"MGYA00216471","completed","Submitted nucleotide sequences","74414834","Nucleotide sequences after format-specific filtering","74344693","Nucleotide sequences after length filtering","68972247","Nucleotide sequences after undetermined bases filtering","68969564","Reads with predicted CDS","66091733","Reads with predicted RNA","257834","Reads with InterProScan match","26059992","Predicted CDS","66224904","Predicted CDS with InterProScan match","26064200","Total InterProScan matches","40695695","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1726033?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426858?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216471?format=csv"
"MGYA00216472","completed","Submitted nucleotide sequences","14955221","Nucleotide sequences after format-specific filtering","14930380","Nucleotide sequences after length filtering","13829393","Nucleotide sequences after undetermined bases filtering","13827809","Reads with predicted CDS","13247361","Reads with predicted RNA","72480","Reads with InterProScan match","6024235","Predicted CDS","13424014","Predicted CDS with InterProScan match","6033349","Total InterProScan matches","9948467","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1713373?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426820?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216472?format=csv"
"MGYA00216473","completed","Submitted nucleotide sequences","86144215","Nucleotide sequences after format-specific filtering","86046095","Nucleotide sequences after length filtering","79983461","Nucleotide sequences after undetermined bases filtering","79975115","Reads with predicted CDS","76878550","Reads with predicted RNA","380449","Reads with InterProScan match","36894522","Predicted CDS","78027547","Predicted CDS with InterProScan match","36958284","Total InterProScan matches","61581424","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1713350?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426797?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216473?format=csv"
"MGYA00216474","completed","Submitted nucleotide sequences","44204291","Nucleotide sequences after format-specific filtering","44119065","Nucleotide sequences after length filtering","32597709","Nucleotide sequences after undetermined bases filtering","32597079","Reads with predicted CDS","30768032","Reads with predicted RNA","108063","Reads with InterProScan match","11045290","Predicted CDS","31001496","Predicted CDS with InterProScan match","11055191","Total InterProScan matches","17410716","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR2592259?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426811?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216474?format=csv"
